"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2957,226,"THA","Thailand",44,"Phichit","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1E><U+0E34><U+0E08><U+0E34><U+0E15><U+0E23>","","Changwat","Province"
2958,226,"THA","Thailand",45,"Phitsanulok","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1E><U+0E34><U+0E29><U+0E13><U+0E38><U+0E42><U+0E25><U+0E01>","Bisnulok|Phisanulauk|Phitsnulok|Pitsanuloke","Changwat","Province"
2959,226,"THA","Thailand",46,"Phra Nakhon Si Ayutthaya","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1E><U+0E23><U+0E30><U+0E19><U+0E04><U+0E23><U+0E28><U+0E23><U+0E35><U+0E2D><U+0E22><U+0E38><U+0E18><U+0E22><U+0E32>","Phranakhon Si Ayutthaya|Ayudhya|Ayutthaya|Phranakhornsri-ayuthaya","Changwat","Province"
2960,226,"THA","Thailand",47,"Phrae","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E41><U+0E1E><U+0E23><U+0E48>","","Changwat","Province"
2961,226,"THA","Thailand",48,"Phuket","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E20><U+0E39><U+0E40><U+0E01><U+0E47><U+0E15>","","Changwat","Province"
2962,226,"THA","Thailand",49,"Prachin Buri","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1B><U+0E23><U+0E32><U+0E08><U+0E35><U+0E19><U+0E1A><U+0E38><U+0E23><U+0E35>","","Changwat","Province"
2963,226,"THA","Thailand",50,"Prachuap Khiri Khan","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1B><U+0E23><U+0E30><U+0E08><U+0E27><U+0E1A><U+0E04><U+0E35><U+0E23><U+0E35><U+0E02><U+0E31><U+0E19><U+0E18><U+0E4C>","Korh Luxk|Prachuab Girikhand|Prachuapkirikhan|Prachut Khirikhan","Changwat","Province"
2964,226,"THA","Thailand",51,"Ranong","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E23><U+0E30><U+0E19><U+0E2D><U+0E07>","","Changwat","Province"
2965,226,"THA","Thailand",52,"Ratchaburi","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E23><U+0E32><U+0E0A><U+0E1A><U+0E38><U+0E23><U+0E35>","","Changwat","Province"
2966,226,"THA","Thailand",53,"Rayong","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E23><U+0E30><U+0E22><U+0E2D><U+0E07>","","Changwat","Province"
2967,226,"THA","Thailand",54,"Roi Et","<U+0E23><U+0E49><U+0E2D><U+0E22><U+0E40><U+0E2D><U+0E47><U+0E14>","","Changwat","Province"
2968,226,"THA","Thailand",55,"Sa Kaeo","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E23><U+0E30><U+0E41><U+0E01><U+0E49><U+0E27>","Srakaeo","Changwat","Province"
